Timestamp,What is your Gender?,What age group do you fall under,Which economic class do you fall under? (approximate),Which of the following do you own?,Are you a regular Social Media User?,How much time do you spend on social media every day? (mention as number of hours),Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Facebook],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Instagram],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Twitter],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Linkedin],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Tik Tok],"What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [Timepass]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [Networking]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [For new content]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [News]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Easy to use user interface]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Strong Privacy control]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [ability to choose preferred content]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Aesthetically pleasing user interface]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Customization options (profile, user interface etc)]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Push Notifications]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Contests and Events]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [More messaging options (like instant chat)]","If a social media platform were to be Gamified (addition of classes, guilds/clans, contests, events etc), how likely are you to use it?",What are the likely reasons for you not to use social media?,Any reasons not mentioned above?,If you are given the option of a social media specific to your interests will you use it?,Which of the following are your talents/skills/interests ? ,List any interests NOT mentioned above,"Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Coder/Hacker/Electronics Enthusiast/GameDev]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Content Creator (Audio/Video/Photo/Art/Text)]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Fitness/Sports/Travel/Adventure]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Finance matters/stock market/fantasy sports leagues etc]",How regularly do you participate in competitions/contests?,"If you are provided an easy to use platform to participate in or host competitions in your area of interests, how likely are you to use it?",
9/17/2022 10:30:56,Female,18-25,Upper Class,"Laptop, Mobile Phone",Yes,1,0,4,0,1,0,"1, 2",1,4,"4, 5",3,3,5,2,4,3,4,5,4,,,,"Video Maker/Editor, Travel and exploring, Entrepreneurship","Studying,walking","2, 3",4,5,2,2,3,
9/18/2022 13:49:09,Male,18-25,Lower Middle Class,"Laptop, Mobile Phone",Yes,1,0,4,2,3,0,3,4,4,2,3,5,3,5,5,1,4,5,3,,,,"Gaming, Coder/Hacker, Video Maker/Editor, Photographer, Travel and exploring",,4,3,5,1,2,4,
9/18/2022 13:49:14,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,1,0,2,1,4,0,4,2,4,3,5,5,5,5,5,1,1,5,2,,,,"Coder/Hacker, Musician, Dancer, Writer (Stories/Scripts etc), Photographer, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Stock Market, Entrepreneurship",,5,3,4,5,4,4,
9/18/2022 13:51:25,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,1,0,2,0,3,0,1,"2, 4","2, 4",4,4,5,5,5,"3, 5",4,3,5,2,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Musician, Writer (Stories/Scripts etc), Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",,3,3,2,2,2,3,
9/18/2022 13:51:33,Male,18-25,Middle Class,"Laptop, Mobile Phone, Tablet",Yes,1,0,5,2,1,0,5,3,5,3,4,5,5,5,3,2,3,4,4,,,,"Gaming, Coder/Hacker, Musician, Fitness enthusiast, Sports (Real world :-D), Stock Market",,4,2,2,3,2,3,
9/18/2022 13:59:40,Male,18-25,Don't want to say,"Laptop, Mobile Phone",Yes,1,0,3,3,2,0,3,2,4,2,5,5,5,2,3,1,3,4,4,,,,"Gaming, Coder/Hacker, Game Developer, Sports (Real world :-D), Stock Market",,2,1,4,3,3,4,
9/18/2022 14:02:29,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Tablet",Yes,1,0,1,1,0,0,4,3,3,3,4,5,5,4,3,3,3,2,4,,,,"Gaming, Coder/Hacker, Video Maker/Editor, Fantasy Sports Leagues, Sports (Real world :-D)",,5,5,5,5,2,5,
9/18/2022 14:05:36,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,1,1,4,0,0,0,4,3,4,4,4,3,5,5,3,3,3,3,3,,,,"Gaming, Artist, Fantasy Sports Leagues, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,1,3,5,3,4,4,
9/18/2022 14:06:40,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,1,0,3,1,1,0,2,1,3,1,3,5,3,3,3,2,1,3,2,,,,"Coder/Hacker, Writer (Stories/Scripts etc), Photographer, Fitness enthusiast, Adventure (Trekking, Biking, Hiking, etc)",,3,2,3,1,1,3,
9/18/2022 14:12:51,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,1,0,3,0,2,0,4,3,3,3,4,4,5,5,4,3,4,5,4,,,,"Electronics Enthusiast (Building Devices etc), Musician, Stock Market",Can solve the rubik's cube in a min 🙃,4,3,"3, 4",2,3,4,
9/18/2022 14:15:43,Female,18-25,Middle Class,"Laptop, Mobile Phone",Yes,1,0,3,0,1,0,4,4,4,4,2,4,4,3,4,3,4,4,3,,,,"Artist, Filmmaker, Video Maker/Editor, Photographer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Entrepreneurship",,1,3,1,1,2,1,
9/18/2022 14:29:41,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop",Yes,1,0,5,4,3,0,3,4,4,3,4,5,5,5,5,4,5,4,4,,,,"Gaming, Video Maker/Editor, Adventure (Trekking, Biking, Hiking, etc), Stock Market",,5,5,4,5,4,4,
9/17/2022 6:17:28,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,1.5,0,5,1,3,0,1,1,2,2,3,1,1,1,1,1,2,3,3,,,,"Gaming, Sports (Real world :-D)",Reader,1,1,5,1,2,2,
9/18/2022 14:09:49,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,1.5,0,3,0,0,0,3,2,3,"2, 3",5,5,5,5,5,5,5,5,4,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Artist, Musician, Writer (Stories/Scripts etc), Fantasy Sports Leagues, Fitness enthusiast, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,5,1,3,3,3,4,
9/16/2022 21:44:43,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,2,4,4,3,5,0,4,1,5,3,5,5,5,5,5,3,3,5,3,,,,"Gaming, Coder/Hacker, Photographer, Travel and exploring, Sports (Real world :-D), Collector (Coins, stamps, cards, posters, etc)",,5,1,1,3,5,5,
9/16/2022 21:49:18,Male,18-25,Lower Middle Class,"Laptop, Mobile Phone",Yes,2,0,1,3,3,0,2,3,2,3,2,5,3,3,4,2,2,3,3,,,,"Artist, Musician, Writer (Stories/Scripts etc), Photographer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,3,5,5,3,2,3,
9/16/2022 21:53:05,Male,18-25,Middle Class,Mobile Phone,Yes,2,0,3,2,1,0,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,"Gaming, Writer (Stories/Scripts etc), Sports (Real world :-D)",,4,4,4,4,5,5,
9/16/2022 21:55:50,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,2,0,5,0,1,0,3,4,5,4,5,4,5,2,5,5,5,5,2,,,,Gaming,,5,5,5,5,3,3,
9/16/2022 22:15:58,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,2,"3, 4",4,"4, 5","4, 5",3,3,1,2,3,5,4,4,5,4,"4, 5",5,4,4,,,,"Coder/Hacker, Electronics Enthusiast (Building Devices etc), Game Developer, Fantasy Sports Leagues, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,4,3,"3, 4",4,3,4,
9/16/2022 22:50:38,Male,18-25,Middle Class,Laptop,Yes,2,0,4,0,0,0,4,3,5,5,5,5,4,4,5,4,4,5,5,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Artist, Musician, Dancer, Writer (Stories/Scripts etc), Photographer, Travel and exploring, Sports (Real world :-D), Stock Market, Entrepreneurship",,4,4,5,4,3,3,
9/16/2022 23:21:50,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,2,0,4,2,3,0,5,4,4,4,5,5,5,5,5,4,5,5,5,,,,"Coder/Hacker, Electronics Enthusiast (Building Devices etc), Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship",,5,2,2,3,1,5,
9/17/2022 10:28:05,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,2,0,2,0,1,0,2,2,2,2,3,3,3,3,3,1,1,2,5,,,,"Gaming, Coder/Hacker, Artist, Photographer",Sleep,3,2,1,1,2,3,
9/17/2022 11:51:27,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,2,0,4,1,0,0,4,3,1,4,5,5,4,3,4,4,3,4,4,,,,"Musician, Writer (Stories/Scripts etc), Travel and exploring",Signing ,3,3,3,2,3,4,
9/17/2022 12:19:09,Male,18-25,Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch",Yes,2,0,5,2,1,0,3,4,4,3,1,4,3,3,4,4,4,5,4,,,,"Gaming, Coder/Hacker, Musician, Dancer, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",Racing,3,2,5,4,3,4,
9/18/2022 13:47:45,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,2,0,"1, 2",1,1,0,2,4,3,5,"1, 5",5,5,5,5,5,"2, 5",5,2,,,,"Coder/Hacker, Stock Market",,5,1,1,1,3,5,
9/18/2022 13:48:46,Male,18-25,Middle Class,"Laptop, Mobile Phone, Tablet",Yes,2,0,3,0,0,0,4,2,4,3,4,5,4,4,3,1,1,4,5,,,,Gaming,,5,2,1,3,2,4,
9/18/2022 13:49:26,Female,18-25,Middle Class,"Laptop, Mobile Phone",Yes,2,0,1,3,3,0,1,5,5,5,3,3,3,3,2,2,3,1,1,,,,"Coder/Hacker, Musician, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Stock Market",,3,3,5,3,4,4,
9/18/2022 13:49:32,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,2,1,3,2,4,0,4,4,3,5,5,4,5,5,5,3,1,3,3,,,,"Gaming, Writer (Stories/Scripts etc), Fitness enthusiast, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Entrepreneurship",Reading,4,1,4,3,3,4,
9/18/2022 13:50:08,Transgender,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,2,0,5,0,0,0,3,2,3,1,2,3,3,3,3,3,3,3,3,,,,"Fitness enthusiast, Sports (Real world :-D)",,3,2,5,3,3,3,
9/18/2022 13:51:35,Male,18-25,Upper Class,"Laptop, Mobile Phone",Yes,2,0,1,1,0,0,2,3,4,4,4,5,5,4,4,3,1,2,3,,,,"Coder/Hacker, Stock Market",,5,1,1,3,2,3,
9/18/2022 13:52:01,Male,18-25,Don't want to say,"Laptop, Mobile Phone",Yes,2,1,5,3,0,0,3,3,4,4,5,5,4,3,5,3,5,5,4,,,,"Artist, Travel and exploring, Sports (Real world :-D), Entrepreneurship, Collector (Coins, stamps, cards, posters, etc)",Pistol Shooting ,4,4,4,3,3,4,
9/18/2022 13:52:07,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,2,0,1,0,1,0,1,3,1,1,3,4,4,3,2,1,1,3,3,,,,"Gaming, Writer (Stories/Scripts etc), Filmmaker, Photographer, Fitness enthusiast, Travel and exploring, Sports (Real world :-D), Stock Market",,1,1,4,3,3,3,
9/18/2022 13:53:22,Female,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,2,0,3,0,0,0,5,3,4,2,5,5,5,3,5,4,3,3,5,,,,"Gaming, Coder/Hacker, Musician, Dancer, Writer (Stories/Scripts etc), Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Entrepreneurship","Debates, cooking ",3,3,5,5,5,5,
9/18/2022 13:54:40,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Smart Watch",Yes,2,0,3,1,0,0,4,4,4,5,3,5,4,3,4,4,4,5,3,,,,Sports (Real world :-D),,3,5,4,5,3,1,
9/18/2022 13:57:57,Female,18-25,Upper Class,"Laptop, Mobile Phone, Smart Watch",Yes,2,1,5,0,5,0,5,5,4,5,5,5,5,3,3,2,2,5,3,,,,"Musician, Dancer, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",,5,5,5,5,4,4,
9/18/2022 13:59:20,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Desktop, Tablet",Yes,2,0,5,0,0,0,3,3,4,4,4,5,5,3,3,3,4,5,4,,,,Coder/Hacker,,3,1,3,1,2,4,
9/18/2022 14:00:44,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,2,0,5,1,3,0,3,2,4,4,4,5,5,3,2,1,3,4,5,,,,"Gaming, Coder/Hacker, Game Developer, Video Maker/Editor, Photographer, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",,4,5,4,2,3,5,
9/18/2022 14:00:59,Male,18-25,Middle Class,"Laptop, Mobile Phone, Tablet",Yes,2,2,5,0,0,0,5,3,4,3,5,4,4,4,4,2,3,3,3,,,,"Coder/Hacker, Writer (Stories/Scripts etc), Photographer, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Collector (Coins, stamps, cards, posters, etc)",Reading,4,3,4,1,2,4,
9/18/2022 14:03:50,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,2,0,2,0,0,0,4,3,1,5,4,4,4,3,5,4,1,4,4,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Sports (Real world :-D)",,5,1,1,2,3,3,
9/18/2022 14:08:43,Male,18-25,Don't want to say,"Laptop, Mobile Phone",Yes,2,4,3,0,0,0,4,1,3,2,5,5,4,3,3,1,2,3,2,,,,"Gaming, Sports (Real world :-D)",I love you ,1,1,4,1,2,2,
9/18/2022 14:09:23,Male,18-25,Upper Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,2,1,5,3,3,0,5,5,1,5,3,5,5,1,3,3,3,5,3,,,,"Photographer, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship",,1,1,5,5,2,2,
9/18/2022 14:10:24,Male,18-25,Middle Class,"Laptop, Mobile Phone, Desktop",Yes,2,0,5,3,4,0,4,3,5,3,5,5,5,5,5,5,5,5,4,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Game Developer, Musician, Fitness enthusiast, Sports (Real world :-D)",,5,1,3,2,4,5,
9/18/2022 14:14:42,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,2,4,5,3,0,0,4,3,3,5,3,4,4,3,3,2,4,5,4,,,,"Electronics Enthusiast (Building Devices etc), Photographer, Adventure (Trekking, Biking, Hiking, etc), Stock Market",,5,4,5,5,3,4,
9/18/2022 14:17:33,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,2,0,1,0,1,0,2,2,3,3,4,4,4,4,4,2,4,4,4,,,,"Gaming, Stock Market",,1,1,1,5,4,5,
9/18/2022 14:26:03,Male,18-25,Upper Class,"Laptop, Mobile Phone, Smart Watch",Yes,2,0,5,0,5,0,5,3,3,3,2,2,2,2,2,1,2,2,5,,,,"Coder/Hacker, Electronics Enthusiast (Building Devices etc)",,2,2,2,2,4,3,
9/18/2022 14:26:47,Female,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,2,0,5,0,0,0,5,3,5,3,5,4,4,5,5,2,3,4,4,,,,Dancer,,4,4,3,2,3,4,
9/18/2022 14:01:41,Male,18-25,Upper Class,"Laptop, Mobile Phone",Yes,2.5,0,2,3,1,0,4,3,4,3,4,4,5,5,3,3,2,4,4,,,,"Coder/Hacker, Electronics Enthusiast (Building Devices etc), Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Entrepreneurship",Geopolitics ,4,1,3,3,2,4,
9/15/2022 15:54:10,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Smart Watch",Yes,3,0,2,4,3,0,3,3,3,4,5,4,5,5,5,4,5,4,5,,,,"Gaming, Coder/Hacker, Collector (Coins, stamps, cards, posters, etc)",,4,1,3,3,3,4,
9/16/2022 10:24:36,Female,18-25,Upper Class,"Laptop, Mobile Phone, Desktop, Smart Watch",Yes,3,0,5,0,0,0,4,1,5,5,5,3,4,4,2,3,5,5,4,,,,"Artist, Video Maker/Editor","Jewellery making, collage making, caricature making ",2,5,5,2,3,5,
9/16/2022 16:35:14,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Tablet",Yes,3,0,5,4,4,0,4,3,5,4,5,3,5,4,4,4,4,2,5,,,,"Gaming, Coder/Hacker, Stock Market, Entrepreneurship",,5,1,2,5,3,5,
9/16/2022 21:41:48,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,3,0,4,0,1,0,3,3,3,3,3,5,4,4,4,3,3,3,4,,,,"Gaming, Coder/Hacker, Game Developer, Adventure (Trekking, Biking, Hiking, etc)",,3,1,2,1,2,3,
9/16/2022 22:17:38,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,3,1,2,3,3,0,3,3,4,4,3,1,1,2,3,4,4,3,4,,,,"Gaming, Coder/Hacker, Game Developer, Artist, Filmmaker, Video Maker/Editor, Photographer, Fantasy Sports Leagues, Stock Market",Crypto ,3,3,2,3,3,4,
9/16/2022 22:19:56,Male,18-25,Don't want to say,Mobile Phone,Yes,3,0,5,1,3,0,1,2,3,4,1,2,3,4,3,2,1,2,3,,,,"Gaming, Dancer, Video Maker/Editor, Photographer",Nope,1,3,1,1,2,2,
9/16/2022 22:22:15,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,3,3,0,0,1,0,4,2,3,3,4,3,4,4,4,3,2,2,2,,,,Sports (Real world :-D),,1,2,2,1,1,2,
9/16/2022 22:32:46,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,3,0,3,2,2,0,4,3,3,4,3,3,3,3,3,2,2,1,5,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Sports (Real world :-D)",,5,2,4,1,3,4,
9/16/2022 22:56:56,Male,18-25,Middle Class,"Laptop, Mobile Phone",Yes,3,0,4,3,2,0,2,1,3,2,3,5,2,1,2,1,1,4,1,,,,"Coder/Hacker, Artist, Travel and exploring",,5,1,3,1,1,1,
9/16/2022 23:32:40,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone, Tablet",Yes,3,0,3,0,2,0,2,3,3,4,2,1,3,2,3,3,1,2,4,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Travel and exploring, Sports (Real world :-D)",,1,2,1,2,4,3,
9/17/2022 0:27:16,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,3,0,3,1,0,0,3,2,2,2,3,3,3,3,3,3,3,3,4,,,,"Gaming, Electronics Enthusiast (Building Devices etc), Stock Market, Entrepreneurship",,2,4,5,5,2,2,
9/17/2022 6:34:57,Male,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,3,0,4,0,5,0,5,1,5,5,5,4,"1, 5",4,5,1,5,5,4,,,,"Artist, Musician, Writer (Stories/Scripts etc)",,1,4,4,4,2,4,
9/17/2022 12:17:03,Male,18-25,Middle Class,"Laptop, Mobile Phone, Smart Watch",Yes,3,0,3,0,0,0,2,4,4,2,5,5,5,5,5,4,5,4,3,,,,"Artist, Filmmaker, Video Maker/Editor, Photographer, Fitness enthusiast, Travel and exploring, Sports (Real world :-D)",,2,5,4,1,2,4,
9/18/2022 13:48:01,Male,18-25,Middle Class,"Laptop, Mobile Phone, Desktop",Yes,3,2,5,3,0,0,5,3,5,4,5,5,4,4,5,3,5,4,5,,,,"Gaming, Fantasy Sports Leagues",,3,4,3,3,4,5,
9/18/2022 13:48:52,Male,18-25,Upper Middle Class,"Laptop, Mobile Phone",Yes,3,0,2,0,0,0,1,3,2,2,5,5,5,5,5,4,4,5,4,,,,"Electronics Enthusiast (Building Devices etc), Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",,1,1,"3, 4",1,2,3,
9/18/2022 13:49:09,Female,18-25,Upper Class,"Laptop, Mobile Phone, Smart Watch",Yes,3,0,4,1,2,0,5,4,4,3,3,2,3,3,3,1,1,1,3,,,,"Coder/Hacker, Artist, Musician, Dancer, Photographer, Travel and exploring",,4,3,2,1,4,4,
9/18/2022 13:49:21,Female,18-25,Upper Middle Class,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,3,0,2,1,1,0,2,3,2,1,5,5,5,5,5,5,1,5,3,,,,"Gaming, Coder/Hacker, Artist, Musician, Dancer, Writer (Stories/Scripts etc), Photographer, Fitness enthusiast",,1,1,1,1,1,2,
9/18/2022 13:49:25,Female,18-25,Don't want to say,"Laptop, Mobile Phone, Desktop, Tablet",Yes,3,0,3,1,4,0,3,3,1,3,4,4,5,3,3,2,2,3,4,,,,"Coder/Hacker, Dancer, Photographer, Fantasy Sports Leagues, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship",-,4,2,3,3,3,4,
